amplxe: Using result path `/scratch2/scratchdirs/marchdf/pelec-filter-scaling/vtune/0pts.nid00121'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             amplxe: Executing actions 100 % Generating a report                            amplxe: Executing actions 100 % done                                           
Function	CPU Time	Memory Bound(%)	Memory Bound:L1 Bound(%)	Memory Bound:L2 Bound(%)	Memory Bound:L3 Bound(%)	Memory Bound:DRAM Bound(%)	Memory Bound:DRAM Bound:Memory Bandwidth(%)	Memory Bound:DRAM Bound:Memory Latency(%)	Memory Bound:DRAM Bound:Memory Latency:Remote / Local memory Ratio	Loads	Stores	LLC Miss Count	LLC Miss Count:Local DRAM Access Count	LLC Miss Count:Remote DRAM Access Count	LLC Miss Count:Remote Cache Access Count	Average Latency (cycles)	Module	Function (Full)	Source File	Start Address
get_sfs_stresses_zdir	2.671001	77.0	18.5	0.0	9.2	27.1	16.1	15.5	0.0	376011280	4800144	12800384	7200216	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	get_sfs_stresses_zdir	lesterm_3d.f90	0x7309f5
for_realloc_lhs	2.617001	29.7	6.7	0.0	3.6	0.0	10.9	14.2	0.0	2560076800	424012720	0	800024	0	0	1.000000	libifcore.so.5	for_realloc_lhs	[Unknown]	0x6eef0
clear_page_c_e	2.592001	43.9	0.4	0.0	0.0	0.0	0.7	5.8	0.0	8000240	356010680	0	0	0	0	1.000000	vmlinux	clear_page_c_e	[Unknown]	0xffffffff812ae740
actual_eos_top	2.464001	30.0	5.8	0.0	0.0	7.4	6.0	28.5	0.0	262407872	18400552	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	actual_eos_top	gamma_law.F90	0x9187a0
amrex::BaseFab<double>::mult(double, amrex::Box const&, int, int)::{lambda(double&)#1}::operator()	2.464001	82.2	11.1	0.0	11.8	27.4	18.3	9.5	0.0	295208856	160004800	800024	800024	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	amrex::BaseFab<double>::mult(double, amrex::Box const&, int, int)::{lambda(double&)#1}::operator()(double&) const	AMReX_BaseFab.H	0x67ce56
actual_eos_bottom	2.436001	59.4	27.2	0.0	0.0	0.9	3.9	25.2	0.0	589617688	800024	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	actual_eos_bottom	gamma_law.F90	0x91800d
tpss_free_mod1_ver0	2.412001	23.2	6.5	0.0	3.0	0.0	14.1	19.9	0.0	1215236456	1114433432	0	0	0	0	1.000000	libtpsstool.so	tpss_free_mod1_ver0	[Unknown]	0x32fc30
consup	2.366001	51.0	5.3	0.0	10.2	4.5	25.1	15.9	0.0	1024830744	146404392	800024	2400072	0	0	0.997797	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	consup	PeleC_advection_3d.F90	0x9c89c0
umeth3d	2.134001	46.2	7.0	0.0	1.1	5.1	8.4	19.3	0.0	324809744	140004200	800024	1600048	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	umeth3d	PeleC_advection_3d.F90	0x9b3e50
actual_eos_wb	1.925001	24.6	5.2	0.0	0.0	0.3	5.2	18.0	0.0	1882456472	482414472	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	actual_eos_wb	gamma_law.F90	0x917e20
